Timestamp,Date,Measure,Maple,TrueFi,Backed Finance,Securitize,Ondo,Arca Labs,Open Eden,Superstate,Swarm,Matrixdock,Wisdomtree Prime,Franklin Templeton Benji Investments,Hashnote,OpenTrade (Perimeter Protocol),Midas
1687737600000,2023-06-26,Total Asset Value (Dollar),12636763.82,,15718208.00,,142255009.84,366620.00,,,16117.78,84496778.35,1000050.94,299254679.08,1629469.58,,
1687824000000,2023-06-27,Total Asset Value (Dollar),16943241.09,,15716256.00,,142280794.69,366620.00,,,16105.01,84496803.35,1000050.94,298539595.89,1629469.58,,
1687910400000,2023-06-28,Total Asset Value (Dollar),17927449.90,,15735232.00,,142510844.26,366620.00,,,16128.70,85003200.46,1000050.94,298579806.61,1629469.58,,
1687996800000,2023-06-29,Total Asset Value (Dollar),17929571.77,,15734240.00,,142536668.45,376783.72,,,16093.51,85003200.46,1000050.94,297620741.83,1629863.94,,
1688083200000,2023-06-30,Total Asset Value (Dollar),17943398.41,,15751776.00,,143970772.58,376783.72,,,16150.83,85003200.46,1000101.92,297692153.90,1631479.94,,
1688169600000,2023-07-01,Total Asset Value (Dollar),17934300.78,,15751776.00,,143970772.58,376783.72,,,16150.83,85003200.46,1000101.92,297692153.90,3627411.49,,
1688256000000,2023-07-02,Total Asset Value (Dollar),17931742.53,,15751776.00,,143970772.58,376783.72,,,16150.83,85003200.46,1000101.92,297692153.90,3627411.49,,
1688342400000,2023-07-03,Total Asset Value (Dollar),17929844.96,,15756128.00,,143397235.78,376783.72,,,16107.55,85003200.46,1000127.26,297405962.61,3627411.49,,
1688428800000,2023-07-04,Total Asset Value (Dollar),18184187.34,,15756128.00,,143397235.78,376783.72,,,16107.55,86903200.46,1000127.26,297405962.61,3627411.49,,
1688515200000,2023-07-05,Total Asset Value (Dollar),17325652.37,,15717216.00,,142767068.58,376783.72,,,16082.59,86903200.46,1000127.26,297455205.66,3627411.49,,
1688601600000,2023-07-06,Total Asset Value (Dollar),16965103.94,,15725248.00,,144135207.86,376783.72,,,16099.26,86903200.46,1000127.26,297496145.75,3628282.69,,
1688688000000,2023-07-07,Total Asset Value (Dollar),15843548.34,,15752480.00,,144256204.91,376783.72,,,16105.21,88101417.87,1000127.26,298422013.72,3628332.52,,
1688774400000,2023-07-08,Total Asset Value (Dollar),15861743.22,,15752480.00,,144256204.91,376783.72,,,16105.21,88101417.87,1000127.26,298422013.72,3628481.70,,
1688860800000,2023-07-09,Total Asset Value (Dollar),20851326.22,,15752480.00,,144256204.91,376783.72,,,16105.21,88101417.87,1000127.26,298422013.72,3628481.70,,
